program,year,period,week_ending,geo_level,state,state_ansi,ag_district,ag_district_code,county,county_ansi,zip_code,region,watershed_code,watershed,commodity,data_item,domain,domain_category,value,cv_percent
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,WARREN,185,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,BLADEN,017,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,900,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,BRUNSWICK,019,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,COLUMBUS,047,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1638,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,CUMBERLAND,051,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3314,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,DUPLIN,061,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5683,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,HARNETT,085,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6602,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,HOKE,093,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5667,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,ONSLOW,133,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2900,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,PENDER,141,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,ROBESON,155,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10803,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,SAMPSON,163,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,11161,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,SCOTLAND,165,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3761,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,ANSON,007,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,892,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,CABARRUS,025,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,CLEVELAND,045,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,LINCOLN,109,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,MONTGOMERY,123,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,262,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,MOORE,125,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,RICHMOND,153,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,STANLY,167,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10675,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,UNION,179,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2692,17.1
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,013,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,14702,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,CARTERET,031,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6720,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,CRAVEN,049,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5874,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,GREENE,079,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13662,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,HYDE,095,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,16341,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,JOHNSTON,101,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6318,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,JONES,103,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,11158,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,LENOIR,107,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,18878,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,PAMLICO,137,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,PITT,147,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,25727,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,WAYNE,191,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,15985,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,WILSON,195,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,15746,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,ALEXANDER,003,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,LEE,105,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1240,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,ROWAN,159,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,WAKE,183,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1405,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,BERTIE,015,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,32451,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,CAMDEN,029,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,660,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,CHOWAN,041,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,12546,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,EDGECOMBE,065,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,23589,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,GATES,073,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,8724,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,HALIFAX,083,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,57810,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,HERTFORD,091,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,16403,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,MARTIN,117,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,46306,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,NASH,127,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13640,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,NORTHAMPTON,131,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,46724,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,PASQUOTANK,139,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1729,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,PERQUIMANS,143,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,12748,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,TYRRELL,177,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,WASHINGTON,187,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10346,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN MOUNTAIN,10,ALLEGHANY,005,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN MOUNTAIN,10,SURRY,171,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,FRANKLIN,069,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,GRANVILLE,077,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1030,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,GUILFORD,081,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,115,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,WARREN,185,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1635,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,BLADEN,017,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2458,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,BRUNSWICK,019,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,750,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,COLUMBUS,047,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6541,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,CUMBERLAND,051,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5949,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,DUPLIN,061,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,12777,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,HARNETT,085,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,20905,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,HOKE,093,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,11835,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,ONSLOW,133,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6895,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,PENDER,141,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,ROBESON,155,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,16073,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,SAMPSON,163,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,21572,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN COASTAL,90,SCOTLAND,165,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6741,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,ANSON,007,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1538,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,CABARRUS,025,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,CLEVELAND,045,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2428,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,LINCOLN,109,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,MONTGOMERY,123,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,RICHMOND,153,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3202,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,STANLY,167,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13016,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,UNION,179,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2940,10.2
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,MACON,113,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2012,YEAR,NA,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,RUTHERFORD,161,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,420,10.2
CENSUS,2007,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,013,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,17407,NA
